,Photo produit 1,Photo produit 2,Nom produit,Lien achat,Catégorie produit,Genre,cielab_colors
0,https://wasted.fr/cdn/shop/files/t-shirt-acid-310415_2048x2048.jpg?v=1721324674,-,T-Shirt Acid,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-acid,T-shirt,H/F,"[10.588235294117647, 0.0, 1.0]"
1,https://wasted.fr/cdn/shop/files/t-shirt-happy-when-it-rains-677827_2048x2048.jpg?v=1721324692,-,T-Shirt Happy When it Rains,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-happy-when-it-rains,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
2,https://wasted.fr/cdn/shop/files/t-shirt-happy-when-it-rains-755389_2048x2048.jpg?v=1721324688,-,T-Shirt Happy When it Rains,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-happy-when-it-rains-1,T-shirt,H/F,"[29.80392156862745, 7.0, -37.0]"
3,https://wasted.fr/cdn/shop/files/tank-top-united-548539_2048x2048.jpg?v=1721324841,-,Tank Top United,https://wasted.fr/collections/t-shirts-homme/products/tank-top-united-1,T-shirt,H/F,"[89.41176470588236, 0.0, 0.0]"
4,https://wasted.fr/cdn/shop/files/tank-top-united-688509_2048x2048.jpg?v=1721324845,-,Tank Top United,https://wasted.fr/collections/t-shirts-homme/products/tank-top-united,T-shirt,H/F,"[5.88235294117647, 0.0, 0.0]"
5,https://wasted.fr/cdn/shop/files/t-shirt-stoned-again-146978_2048x2048.jpg?v=1721324848,-,T-Shirt Stoned Again,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-stoned-again,T-shirt,H/F,"[29.80392156862745, 7.0, -37.0]"
6,https://wasted.fr/cdn/shop/files/t-shirt-blast-238836_2048x2048.jpg?v=1721585882,-,T-Shirt Blast,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-blast,T-shirt,H/F,"[92.54901960784314, 0.0, 0.0]"
7,https://wasted.fr/cdn/shop/files/t-shirt-worst-452692_2048x2048.jpg?v=1721324847,-,T-Shirt Worst,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-worst,T-shirt,H/F,"[29.01960784313726, -7.0, 4.0]"
8,https://wasted.fr/cdn/shop/files/t-shirt-rain-337714_2048x2048.jpg?v=1721324844,-,T-Shirt Rain,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-rain,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
9,https://wasted.fr/cdn/shop/files/t-shirt-skylab-410847_2048x2048.jpg?v=1730548094,-,T-Shirt Skylab,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-skylab,T-shirt,H/F,"[16.470588235294116, 2.0, 0.0]"
10,https://wasted.fr/cdn/shop/files/t-shirt-united-634634_2048x2048.jpg?v=1730548097,-,T-Shirt United,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-united-2,T-shirt,H/F,"[30.980392156862745, 7.0, -37.0]"
11,https://wasted.fr/cdn/shop/files/t-shirt-united-634634_2048x2048.jpg?v=1730548097,-,T-Shirt United,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-united-2,T-shirt,H/F,"[27.058823529411764, 8.0, -37.0]"
12,https://wasted.fr/cdn/shop/files/t-shirt-united-930779_2048x2048.jpg?v=1730548101,-,T-Shirt United,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-united-copie,T-shirt,H/F,"[83.52941176470588, 0.0, 0.0]"
13,https://wasted.fr/cdn/shop/files/t-shirt-middle-165865_2048x2048.jpg?v=1730547996,-,T-Shirt Middle,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-middle,T-shirt,H/F,"[93.33333333333333, 0.0, 0.0]"
14,https://wasted.fr/cdn/shop/files/t-shirt-middle-165865_2048x2048.jpg?v=1730547996,-,T-Shirt Middle,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-middle,T-shirt,H/F,"[91.37254901960785, 0.0, 1.0]"
15,https://wasted.fr/cdn/shop/files/t-shirt-creeds-760196_2048x2048.jpg?v=1730547990,-,T-Shirt Creeds,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-creeds-1,T-shirt,H/F,"[10.588235294117647, 0.0, 1.0]"
16,https://wasted.fr/cdn/shop/products/t-shirt-temptation-725721_2048x2048.jpg?v=1689959032,-,T-shirt Temptation,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-temptation,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
17,https://wasted.fr/cdn/shop/products/t-shirt-disturb-297815_2048x2048.jpg?v=1697114639,-,T-shirt Disturb,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-disturb,T-shirt,H/F,"[41.96078431372549, -6.0, 5.0]"
18,https://wasted.fr/cdn/shop/products/t-shirt-destroy-absolution-148316_2048x2048.jpg?v=1699193013,-,T-shirt Destroy Absolution,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-destroy-absolution,T-shirt,H/F,"[20.0, 0.0, 0.0]"
19,https://wasted.fr/cdn/shop/products/t-shirt-destroy-absolution-522493_2048x2048.jpg?v=1697114639,-,T-shirt Destroy Absolution,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-destroy-absolution-1,T-shirt,H/F,"[85.88235294117646, 13.0, 2.0]"
20,https://wasted.fr/cdn/shop/products/t-shirt-manches-longues-blind-801901_2048x2048.jpg?v=1706147932,-,T-Shirt Manches Longues Blind,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-manches-longues-blind-1,T-shirt,H/F,"[9.019607843137255, 2.0, -1.0]"
21,https://wasted.fr/cdn/shop/products/t-shirt-nine-wire-525969_2048x2048.jpg?v=1706147933,-,T-Shirt Nine Wire,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-nine-wire-1,T-shirt,H/F,"[40.0, -8.0, 6.0]"
22,https://wasted.fr/cdn/shop/products/t-shirt-grave-144499_2048x2048.jpg?v=1706147839,-,T-Shirt Grave,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-grave,T-shirt,H/F,"[43.13725490196079, -8.0, 6.0]"
23,https://wasted.fr/cdn/shop/products/t-shirt-grief-863283_2048x2048.jpg?v=1706147835,-,T-Shirt Grief,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-grief-1,T-shirt,H/F,"[92.54901960784314, 0.0, 0.0]"
24,https://wasted.fr/cdn/shop/products/t-shirt-vice-903626_2048x2048.jpg?v=1706147932,-,T-Shirt Vice,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-vice,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
25,https://wasted.fr/cdn/shop/products/t-shirt-vice-841559_2048x2048.jpg?v=1706147928,-,T-Shirt Vice,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-vice-1,T-shirt,H/F,"[72.15686274509804, 13.0, 5.0]"
26,https://wasted.fr/cdn/shop/products/t-shirt-mesh-blind-547042_2048x2048.jpg?v=1706147933,-,T-shirt Mesh Blind,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-mesh-blind,T-shirt,H/F,"[12.941176470588237, 1.0, 1.0]"
27,https://wasted.fr/cdn/shop/files/t-shirt-atrax-878327_2048x2048.jpg?v=1712661746,-,T-Shirt Atrax,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-atrax,T-shirt,H/F,"[10.588235294117647, 0.0, 0.0]"
28,https://wasted.fr/cdn/shop/files/t-shirt-atrax-491186_2048x2048.jpg?v=1712661749,-,T-Shirt Atrax,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-atrax-1,T-shirt,H/F,"[91.76470588235294, 0.0, 0.0]"
29,https://wasted.fr/cdn/shop/files/t-shirt-atrax-491186_2048x2048.jpg?v=1712661749,-,T-Shirt Atrax,https://wasted.fr/collections/t-shirts-homme/products/t-shirt-atrax-1,T-shirt,H/F,"[93.72549019607843, 0.0, 0.0]"
